Name,Collection,ExternalDescription,InternalDescription
Jersey Badge,Presenting Platforms,Storm player jersey badge placement & additional marketing content,Ownership + integration into a comprehensive marketing platform Wasserman 25 - Min deal size $3.5 million
Jersey Marquee (Abdomen),Presenting Platforms,"Logo inclusion on players jerseys, practice jerseys & shooting shirts",Integration in players jerseys and practice (belly) + Shooting shirts Wasserman 25 - Min deal size $3 million
Training Facility Naming Rights,Presenting Platforms,Includes marketing & logo inclusion at Storm Center,"Building signage exterior/interior, 15th Ave W, Community Hoops, court naming rights, Stanchions at CBP + in-game marketing/promos Wasserman -24 - Min deal size $1 million"
Training Facility Partner,Presenting Platforms,Includes marketing & logo inclusion at Storm Center,"Sneaker Wall OR Strength/Conditioning, & CBP court & Stanchions & Community Hoops is $250k. Then add Storm marketing for another min $250k Wasserman - 24 - Min deal size $500k"
Free Throw Line(s),Presenting Platforms,Logo on court in both free-throw circles,Logo on court in both free-throw circles ($600k). Can build in Stats4Change on Free-throw (55k) and or Trigger. (100k) Post game free-throws on the court. Logo displayed during local games only. Ownership of post-game fan free throws (10 spots for partner) Wasserman -24 - Min deal size $650k
Court Naming Rights (Naming Rights Package),Presenting Platforms,Logo at Storm center court x2 + inclusion in all mentions of the court; will be on local games only,"Logo at center court x2 + inclusion in all mentions of the court (digital, social, print, PA, broadcast) logo display local games only Wasserman - 25 - $1,160,000. Min spend $1,000,000"
Presenting Partner Season,Presenting Platforms,Integration into all season specific promotions,"Integration into all season specific promotions (Paid - OOO, Digital, print, etc./organic content integration, email, social, etc. (need to account for anv. Years with theme game + logo inclusion Wasserman -25 - Min deal size $500k"
Walkins,Presenting Platforms,Inclusion on the Storm Walkins content,"Social (home/road - all games) posts on Twitter/IG and min 1 FB/Tik Tok). In-arena (home -22 games) and Broadcast (home- local games). Backdrop/signage. Opp to mirror fan walk-ins at CPA, which is incremental $ to this. Min deal size $250k"
Present Warm-Ups + Jacket/Shooting Shirt & Digital,Presenting Platforms,Inclusion on the Player Warm up jackets & shooting shirts,"Part of Founding or Jersey Package - Patch logo on team shooting shirts and warm up jackets + Social content, ""Tunnel Cam"" team run out + LEDs, PA Read, Video Board and one (1) social post (photo/video) home games. Wasserman- 25 - Valuation on shooting shirt was $40k and included in the jersey abdomen value"
VIP Dinning Naming Rights,Presenting Platforms,Naming rights of all cove sections across from benches,"Naming rights of all cove sections across from benches - 5 tables + group space. Chairbacks, table skirts, signage, arena spot-up, personal cove table/group cove equivalent, post-game autograph backdrop Includes season cove table for 4 + 1 parking pass. Min spend $250k"
Practice Jersey Badge + training camp (Naming Rights Package),Presenting Platforms,Inclusion on Storm Practice jersey badge & Present Training Camp,"Part of facility naming rights package - Practice jersey patch, training camp + organic social/video content during the season Wasserman -24"
Practice Jersey Abdomen,Presenting Platforms,Inclusion on Storm Practice jersey abdomen,Includes other assets to get to ~ $100K
Courtside Club Presenting Sponsor,Presenting Platforms,Inclusion on the front row chair backs during home games,"Min of 75k - could include entrance signage, front row chair backs (during locally televised home games), events, tix, etc. Most of the value is through the chairbacks Wasserman -25 - $500,000 - 2/1 value on TV visible asset applies"
Threshold/Trigger Promotion,Presenting Platforms,Inclusion in a trigger/threshold promo & all marketing,"Storm Statistic = Fans Win (i.e. Storm win = Tacos). Website content and promo page + landing page, post-game email/text/app upon activation, PA reads, Broadcast, social coverage upon activation. Can activate home and or away"
Starting Line Ups,Presenting Platforms,Inclusion in the Starting Line up content,"Social Media -(all home/away), In-arena (all home games) value. Broadcast (home/away) local"
Presenting Dance Troupe Sponsor,Presenting Platforms,Logo inclusion & mention during the Dance Troupe promotions,All home games - 22 games - Several games will have a diff group. MOE for the brand partner during performance. Logo on gear. Dance Team is a part of other in-arena moments as well
Present the DJ,Presenting Platforms,Inclusion in the DJ marketing,"Spot up pre-game + 1 spot up in the game. Signage, PA read, Video Board, LED's - could mix in in-game promos"
Milestones,Presenting Platforms,Present the Storm team milestones & inclusion in the marketing content,"Team, WNBA and individual records tracked, broken, achievements reached, etc. - Social, Broadcast & In-Arena. Season price is unit rate x est num of milestones love - 2025 assumption is 12 games min Per social post - $1,507 , Per in-arena PA with MOU -$1,500, Broadcast Feature - $600. Min $100,000 investment ot leverage this platform. Anything above 12 can be incremental games"
Celebrity Cam - In-Arena/Social/Broadcast,Presenting Platforms,"Inclusion in the Celebrity Cam content on social media, in-arena & on broadcast","Guarantee 11 in-arena. Won't happen all games but many games it happens more than 1x (2,500). Will include PA of company name, logo inclusion on VB, LED's. Min of 50% of games on broadcast ($600)and on social ($1,500). Could do product integration as well. In-Arena/Social/Broadcast 11 games anything above is incremental"
Game Ball Delivery,Presenting Platforms,Present the game ball being delivered to the refs each home game and also promoted on social media,Present the game ball being delivered to the refs each home game - in-arena only - add value by including social. Could explore broadcast for more $ pending open features/time
Presenting Fan Fest,Presenting Platforms,Inclusion on marketing assets for Fan Fest and tabling opportunity,"Five dates in 2026 that include - plaza fan fest with activities, merch, beer garden, food trucks, and basketball hoops for fans. Product integration or giveaway possible. Comms include - email, social, app, website $10k per game - see annual calendar for dates"
